review_id,review_text,review_rating,review_title
197029999,"J'ai essay¨¦ le shampooing et revitalisant Tr¨¦sor de miel WholeBlends le soir m¨ºme. Juste ¨¤ regarder l'emballage du produit, on se doute que ce n'est pas n'importe quel shampooing. Bref, je l'ai essay¨¦: mes cheveux furent doux d¨¨s la premi¨¨re utilisation. J'ai tendance ¨¤ avoir les cheveux secs l'hiver, mais ce shampooing fut l'exception ¨¤ la r¨¨gle. J'avais de belles boucles d¨¦finies, au lieu de frisotis. Je donne 5 ¨¦toiles sans h¨¦siter et le recommande ¨¤ tous. D'autant plus qu'il sent ""LE CIEL"". haha, honn¨ºtement, je vais en acheter d'autre c'est certain. Garnier, vous m'avez ¨¤ 100% avec ce shampooing-revitalisant.  J'ai bien h?te d'essayer le *traitement WholeBlends de Garnier, pour avoir le traitement r¨¦parateur parfait !!!!Merci,Vanessa",5.0,"J'ai essay¨¦ le shampooing et revitalisant Tr¨¦sor de miel WholeBlends le soir m¨ºme. Juste ¨¤ regarder l'emballage du produit, on se doute que ce n'est pas n'importe quel shampooing. Bref, je l'ai essay¨¦: mes cheveux furent doux d¨¨s la premi¨¨re utilisation. J'ai tendance ¨¤ avoir les cheveux secs l'hiver, mais ce shampooing fut l'exception ¨¤ la r¨¨gle. J'avais de belles boucles d¨¦finies, au lieu de frisotis. Je donne 5 ¨¦toiles sans h¨¦siter et le recommande ¨¤ tous. D'autant plus qu'il sent ""LE CIEL"". haha, honn¨ºtement, je vais en acheter d'autre c'est certain. Garnier, vous m'avez ¨¤ 100% avec ce shampooing-revitalisant.  J'ai bien h?te d'essayer le *traitement WholeBlends de Garnier, pour avoir le traitement r¨¦parateur parfait !!!!Merci,Vanessa"
197030089,J ai aim¨¦ le shampoing et aim¨¦ ¨¦galement l odeur et mes cheveux sont tres soyeux beau nouveau produit,4.0,J ai aim¨¦ le shampoing et aim¨¦ ¨¦galement l odeur et mes cheveux sont tres soyeux beau nouveau produit
197030346,J'ai fait l'essai du shampooing avec l'¨¦chantillon re?u par la poste et wow j'ai vraiment aim¨¦ il rend les cheveux doux et brillant et que dire de son parfum qui est compl¨¨tement agr¨¦able.  Bravo! pour cette nouvelle collection.,5.0,J'ai fait l'essai du shampooing avec l'¨¦chantillon re?u par la poste et wow j'ai vraiment aim¨¦ il rend les cheveux doux et brillant et que dire de son parfum qui est compl¨¨tement agr¨¦able.  Bravo! pour cette nouvelle collection.
197030383,La senteur est vraiment mielleuse et tres doux.Mes cheveux sont tres leg¨¦s et souples.,5.0,La senteur est vraiment mielleuse et tres doux.Mes cheveux sont tres leg¨¦s et souples.
197030512,J'ai fait l'essai pour la premi¨¨re fois et je vais l'adopter.J'ai beaucoup aim¨¦ le parfum et la sensation de propret¨¦ sans alourdir ma coiffure.C'est un must dans vos achats de shampoings,4.0,J'ai fait l'essai pour la premi¨¨re fois et je vais l'adopter.J'ai beaucoup aim¨¦ le parfum et la sensation de propret¨¦ sans alourdir ma coiffure.C'est un must dans vos achats de shampoings
197030551,bonjour jai asseyer vos produit  jai aimer je vais le conseiller a toute mes amies et amis jaimerais bien gagner,5.0,bonjour jai asseyer vos produit  jai aimer je vais le conseiller a toute mes amies et amis jaimerais bien gagner
197030894,"Le shampoing est tr¨¨s facile d'utilisation et il rend les cheveux soyeux apr¨¨s une utilisation. Aussi, il a une odeur tr¨¨s agr¨¦able et douce. Aussi, j'ai essayer le revitalisant de la m¨ºme senteur et j'ai adorer le produit. Il ¨¦tait vraiment facile d'utilisation et glissait parfaitement sur mes cheveux. Mes cheveux sont maintenant soyeux sont plus en sant¨¦.",5.0,"Le shampoing est tr¨¨s facile d'utilisation et il rend les cheveux soyeux apr¨¨s une utilisation. Aussi, il a une odeur tr¨¨s agr¨¦able et douce. Aussi, j'ai essayer le revitalisant de la m¨ºme senteur et j'ai adorer le produit. Il ¨¦tait vraiment facile d'utilisation et glissait parfaitement sur mes cheveux. Mes cheveux sont maintenant soyeux sont plus en sant¨¦."
197030896,"Shampoing tr¨¨s doux pour les cheveux, parfum agr¨¦able.  Je le recommande.",5.0,"Shampoing tr¨¨s doux pour les cheveux, parfum agr¨¦able.  Je le recommande."
197030917,"Excellent,produits ici on adore toute la famille l utilise",5.0,"Excellent,produits ici on adore toute la famille l utilise"
197030921,J'ai beaucoup aim¨¦ et je vais me le procurer.  J'aime alterner mes shampoings  et je vais l'inclure dans mes usuels.,4.0,J'ai beaucoup aim¨¦ et je vais me le procurer.  J'aime alterner mes shampoings  et je vais l'inclure dans mes usuels.
